,position,games,mae,avg_score,accuracy_score
Harold Fannin Jr.,TE,7,12.285714285714286,10.725,89.41035161375888
Isaiah Davis,RB,6,12.333333333333334,4.825,89.35696192585407
Noah Gray,TE,6,12.333333333333334,2.6,89.35696192585407
J.K. Dobbins,RB,7,12.571428571428571,12.45,89.08908864443508
Hassan Haskins,RB,3,12.666666666666666,1.1857142857142855,88.98151080539519
Puka Nacua,WR,6,12.666666666666666,23.133333333333336,88.98151080539519
Tyler Conklin,TE,3,12.666666666666666,1.9285714285714288,88.98151080539519
Colston Loveland,TE,4,12.75,3.766666666666667,88.88718087200104
Amon-Ra St. Brown,WR,7,13.0,20.95714285714286,88.6030835727723
Rachaad White,RB,7,13.0,10.675,88.6030835727723
Sam LaPorta,TE,7,13.142857142857142,10.7,88.44000279266811
David Njoku,TE,6,13.166666666666666,9.285714285714286,88.41277076669107
Samaje Perine,RB,6,13.166666666666666,4.1625000000000005,88.41277076669107
Michael Carter,RB,3,13.333333333333334,8.100000000000001,88.22173386331612
CeeDee Lamb,WR,3,13.333333333333334,14.96,88.22173386331612
Brenton Strange,TE,5,13.4,8.080000000000002,88.14511778122717
Tyrone Tracy Jr.,RB,5,13.4,6.449999999999999,88.14511778122717
David Montgomery,RB,7,13.428571428571429,12.028571428571428,88.11224726217262
Elijah Arroyo,TE,6,13.5,3.2857142857142856,88.02997921072668
Blake Corum,RB,7,13.571428571428571,4.4,87.94758047086027
Chuba Hubbard,RB,5,13.6,12.166666666666666,87.91458449023938
Dallas Goedert,TE,6,13.666666666666666,14.414285714285716,87.83751302351283
LeQuint Allen Jr.,RB,6,13.666666666666666,1.5142857142857145,87.83751302351283
Kendre Miller,RB,7,13.714285714285714,4.757142857142858,87.78239284904745
Jake Browning,QB,4,13.75,14.025,87.74101501106804
James Cook III,RB,6,13.833333333333334,19.742857142857144,87.64434138717935
Jerome Ford,RB,7,13.857142857142858,4.4875,87.6166882005352
Rashid Shaheed,WR,7,13.857142857142858,11.575,87.6166882005352
Emanuel Wilson,RB,5,14.0,4.271428571428571,87.45047026235302
Arian Smith,WR,4,14.0,1.2125,87.45047026235302
Brashard Smith,RB,6,14.0,4.2125,87.45047026235302
James Conner,RB,3,14.0,11.1,87.45047026235302
T.J. Hockenson,TE,6,14.166666666666666,7.885714285714285,87.25590548880407
Theo Johnson,TE,7,14.285714285714286,8.525,87.11650914222588
Kenneth Walker III,RB,7,14.285714285714286,10.728571428571428,87.11650914222588
Kyle Monangai,RB,6,14.333333333333334,5.242857142857142,87.06065278929236
DJ Moore,WR,6,14.333333333333334,9.542857142857144,87.06065278929236
Kareem Hunt,RB,7,14.428571428571429,8.525,86.94877311672394
Breece Hall,RB,7,14.428571428571429,13.8875,86.94877311672394
Saquon Barkley,RB,7,14.428571428571429,15.974999999999998,86.94877311672394
Miles Sanders,RB,4,14.5,6.675000000000001,86.86471777324775
Ja'Tavion Sanders,TE,3,14.666666666666666,5.0200000000000005,86.66810594029361
Bhayshul Tuten,RB,7,14.857142857142858,5.271428571428572,86.44258486086025
Rico Dowdle,RB,7,14.857142857142858,12.95,86.44258486086025
TreVeyon Henderson,RB,7,15.0,6.5875,86.27287329322819
Julian Hill,TE,6,15.0,2.8142857142857145,86.27287329322819
Chase Brown,RB,7,15.0,11.9875,86.27287329322819
Jordan Addison,WR,3,15.0,15.975,86.27287329322819
Tyreek Hill,WR,4,15.25,13.375,85.974711533179
Oronde Gadsden II,TE,4,15.25,12.583333333333334,85.974711533179
Tetairoa McMillan,WR,7,15.285714285714286,12.525,85.93199659992005
Davante Adams,WR,7,15.714285714285714,15.72857142857143,85.41709507649155
Hunter Henry,TE,7,16.0,10.0875,85.07147213541108
Zamir White,RB,3,16.0,2.4666666666666663,85.07147213541108
Malik Washington,WR,7,16.142857142857142,7.075000000000001,84.89796299333469
Dontayvion Wicks,WR,6,16.166666666666668,4.4,84.86899988106181
