"RK","PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV"
"316","Brycen Tremayne",CAR,"WR128","252","252","252.0","0.0"
"317","Mitch Tinsley",CIN,"WR129","254","254","254.0","0.0"
"318","John Bates",WAS,"TE60","255","255","255.0","0.0"
"319","Skyy Moore",SF,"WR130","256","256","256.0","0.0"
"320","Luke Farrell",SF,"TE61","257","257","257.0","0.0"
"321","Mason Tipton",NO,"WR131","259","259","259.0","0.0"
"322","Xavier Gipson",PHI,"WR132","260","260","260.0","0.0"
"323","Efton Chism III",NE,"WR133","261","261","261.0","0.0"
"324","Drew Ogletree",IND,"TE62","265","265","265.0","0.0"
"325","KhaDarel Hodge",ATL,"WR134","266","266","266.0","0.0"
"326","John Metchie III",PHI,"WR135","267","267","267.0","0.0"
"327","Tyler Shough",NO,"QB39","269","269","269.0","0.0"
"328","LaJohntay Wester",BAL,"WR136","269","269","269.0","0.0"
"329","Trent Sherfield Sr.",DEN,"WR137","270","270","270.0","0.0"
"330","Malik Willis",GB,"QB40","270","270","270.0","0.0"
"331","Russell Wilson",NYG,"QB41","271","271","271.0","0.0"
"332","Brevyn Spann-Ford",DAL,"TE63","271","271","271.0","0.0"
"333","Mason Rudolph",PIT,"QB42","272","272","272.0","0.0"
"334","Mason Kinsey",TEN,"WR138","272","272","272.0","0.0"
"335","Charlie Woerner",ATL,"TE64","273","273","273.0","0.0"
"336","Connor Heyward",PIT,"TE65","274","274","274.0","0.0"
"337","Mitchell Trubisky",BUF,"QB43","275","275","275.0","0.0"
"338","Cooper Rush",BAL,"QB44","276","276","276.0","0.0"
"339","Jack Stoll",NO,"TE66","276","276","276.0","0.0"
"340","Trey Lance",LAC,"QB45","277","277","277.0","0.0"
"341","Kirk Cousins",ATL,"QB46","278","278","278.0","0.0"
"342","Sam Howell",PHI,"QB47","279","279","279.0","0.0"
"343","Teddy Bridgewater",TB,"QB48","280","280","280.0","0.0"
"344","Malik Turner",SF,"WR139","280","280","280.0","0.0"
"345","Durham Smythe",CHI,"TE67","281","281","281.0","0.0"
"346","Davis Mills",HOU,"QB49","281","281","281.0","0.0"
"347","Gardner Minshew II",KC,"QB50","282","282","282.0","0.0"
"348","Tucker Fisk",LAC,"TE68","282","282","282.0","0.0"
"349","Tyson Bagent",CHI,"QB51","283","283","283.0","0.0"
"350","Myles Price",MIN,"WR140","283","283","283.0","0.0"
"351","Robert Tonyan",KC,"TE69","284","284","284.0","0.0"
"352","Jarrett Stidham",DEN,"QB52","284","284","284.0","0.0"
"353","Brandon Allen",TEN,"QB53","285","285","285.0","0.0"
"354","Ben Sinnott",WAS,"TE70","285","285","285.0","0.0"
"355","Jameis Winston",NYG,"QB54","286","286","286.0","0.0"
"356","Blake Whiteheart",CLE,"TE71","286","286","286.0","0.0"
"357","Riley Leonard",IND,"QB55","287","287","287.0","0.0"
"358","Brenden Bates",HOU,"TE72","287","287","287.0","0.0"
"359","Tanner McKee",PHI,"QB56","288","288","288.0","0.0"
"360","Tai Felton",MIN,"WR141","288","288","288.0","0.0"
"361","Joe Burrow",CIN,"QB57","289","289","289.0","0.0"
"362","Will Howard",PIT,"QB58","290","290","290.0","0.0"
"363","Khalil Herbert",NYJ,"RB92","291","291","291.0","0.0"
"364","Jalen Royals",KC,"WR142","293","293","293.0","0.0"
"365","Jack Westover",NE,"TE73","294","294","294.0","0.0"
"366","Ke'Shawn Williams",PIT,"WR143","295","295","295.0","0.0"
"367","David Martin-Robinson",TEN,"TE74","296","296","296.0","0.0"
"368","Payne Durham",TB,"TE75","298","298","298.0","0.0"
"369","Jamal Agnew",ATL,"WR144","300","300","300.0","0.0"
"370","Reggie Gilliam",BUF,"RB93","301","301","301.0","0.0"
"371","Cam Grandy",CIN,"TE76","302","302","302.0","0.0"
"372","Owen Wright",TB,"RB94","304","304","304.0","0.0"
"373","Isaiah Williams",NYJ,"WR145","306","306","306.0","0.0"
"374","Ben Yurosek",MIN,"TE77","307","307","307.0","0.0"
"375","Colson Yankoff",WAS,"TE78","308","308","308.0","0.0"
"376","Chris Manhertz",NYG,"TE79","309","309","309.0","0.0"
"377","Thomas Fidone II",NYG,"TE80","310","310","310.0","0.0"
"378","Rasheen Ali",BAL,"RB95","311","311","311.0","0.0"
"379","Jordan Franks",FA,"TE81","312","312","312.0","0.0"
"380","Charlie Jones",CIN,"WR146","314","314","314.0","0.0"
"381","Stone Smartt",NYJ,"TE82","316","316","316.0","0.0"
"382","Nathan Carter",ATL,"RB96","318","318","318.0","0.0"
"383","Devin Culp",TB,"TE83","319","319","319.0","0.0"
"384","Zaire Mitchell-Paden",BAL,"TE84","322","322","322.0","0.0"
"385","E.J. Jenkins",PHI,"TE85","323","323","323.0","0.0"
"386","Nikko Remigio",KC,"WR147","324","324","324.0","0.0"
"387","Gunner Olszewski",NYG,"WR148","325","325","325.0","0.0"
"388","Laquon Treadwell",IND,"WR149","326","326","326.0","0.0"
