RK,PLAYER NAME,TEAM,POS,BEST,WORST,AVG.,STD.DEV,PROJ,POS_RK,ND,ADD
270,Hunter Luepke,DAL,RB84,253,307,265.9,17.3,#N/A,84,#N/A,Hunter Luepke
271,Jamari Thrash,CLE,WR109,240,250,244.2,3.6,#N/A,109,#N/A,Jamari Thrash
272,Davis Allen,LAR,TE44,230,262,245.4,11.6,1.59,44,#N/A,Davis Allen
273,Skyy Moore,SF,WR110,231,280,245.6,17.8,#N/A,110,#N/A,Skyy Moore
274,Jack Bech,LV,WR111,205,252,228.8,17.1,#N/A,111,#N/A,Jack Bech
275,Tank Bigsby,PHI,RB85,263,325,275.8,19.5,#N/A,85,#N/A,Tank Bigsby
276,Dawson Knox,BUF,TE45,241,261,251.8,8.5,1.52,45,#N/A,Dawson Knox
277,DeeJay Dallas,CAR,RB86,244,323,272,22.5,#N/A,86,#N/A,DeeJay Dallas
278,Jarquez Hunter,LAR,RB87,263,291,271.8,9.8,#N/A,87,#N/A,Jarquez Hunter
279,Kyle Williams,NE,WR112,227,277,249,18.1,#N/A,112,#N/A,Kyle Williams
280,Kalif Raymond,DET,WR113,225,267,252.5,16.6,#N/A,113,#N/A,Kalif Raymond
281,Devontez Walker,BAL,WR114,244,263,252.5,7,#N/A,114,#N/A,Devontez Walker
282,Anthony Richardson Sr.,IND,QB36,161,210,185.5,24.5,0.40,36,#N/A,Anthony Richardson Sr.
283,Colby Parkinson,LAR,TE46,229,283,254.5,21.9,1.28,46,#N/A,Colby Parkinson
284,Luke Schoonmaker,DAL,TE47,228,281,255.3,18.8,1.24,47,#N/A,Luke Schoonmaker
285,Tyler Higbee,LAR,TE48,214,258,239.3,18.6,1.18,48,#N/A,Tyler Higbee
286,Allen Lazard,NYJ,WR115,203,274,239.7,29,#N/A,115,#N/A,Allen Lazard
287,Elijah Higgins,ARI,TE49,247,269,260.8,8.3,1.09,49,#N/A,Elijah Higgins
288,Bucky Irving,TB,RB88,269,330,282.7,21.7,#N/A,88,#N/A,Bucky Irving
289,Luke Farrell,SF,TE50,250,279,264,10.8,0.84,50,#N/A,Luke Farrell
290,Craig Reynolds,DET,RB89,262,315,276.2,19.9,#N/A,89,#N/A,Craig Reynolds
291,Brock Wright,DET,TE51,251,286,265.8,13.6,0.70,51,#N/A,Brock Wright
292,Julian Hill,MIA,TE52,255,286,266.8,11.6,0.64,52,#N/A,Julian Hill
293,Khalil Herbert,NYJ,RB90,272,332,286.8,20.5,#N/A,90,#N/A,Khalil Herbert
